Season_End_Year,Team,Rank,MP,W,D,L,GD,Pts
1993,Werder Bremen,1  ,34,19,10,5,33,48:20
1993,Bayern Munich,2  ,34,18,11,5,29,47:21
1993,E. Frankfurt,3  ,34,15,12,7,17,42:26
1993,Bor. Dortmund,4  ,34,18,5,11,18,41:27
1993,B. Leverkusen,5  ,34,14,12,8,19,40:28
1993,Karlsruher SC,6  ,34,14,11,9,6,39:29
1993,VfB Stuttgart,7  ,34,12,12,10,6,36:32
1993,1.FC K'lautern,8  ,34,13,9,12,10,35:33
1993,Bor. M'gladbach,9  ,34,13,9,12,0,35:33
1993,FC Schalke 04,10  ,34,11,12,11,-1,34:34
1993,Hamburger SV,11  ,34,8,15,11,-2,31:37
1993,1.FC Köln,12  ,34,12,4,18,-10,28:40
1993,1.FC Nuremberg,13  ,34,10,8,16,-17,28:40
1993,Wattenscheid 09,14  ,34,10,8,16,-21,28:40
1993,Dynamo Dresden,15  ,34,7,13,14,-17,27:41
1993,VfL Bochum,16  ,34,8,10,16,-7,26:42
1993,Bay. Uerdingen,17  ,34,7,10,17,-29,24:44
1993,Saarbrücken,18  ,34,5,13,16,-34,23:45
1994,Bayern Munich,1  ,34,17,10,7,31,44:24
1994,1.FC K'lautern,2  ,34,18,7,9,28,43:25
1994,B. Leverkusen,3  ,34,14,11,9,13,39:29
1994,Bor. Dortmund,4  ,34,15,9,10,4,39:29
1994,E. Frankfurt,5  ,34,15,8,11,16,38:30
1994,Karlsruher SC,6  ,34,14,10,10,3,38:30
1994,VfB Stuttgart,7  ,34,13,11,10,8,37:31
1994,Werder Bremen,8  ,34,13,10,11,7,36:32
1994,MSV Duisburg,9  ,34,14,8,12,-11,36:32
1994,Bor. M'gladbach,10  ,34,14,7,13,6,35:33
1994,1.FC Köln,11  ,34,14,6,14,-2,34:34
1994,Hamburger SV,12  ,34,13,8,13,-4,34:34
1994,Dynamo Dresden,13  ,34,10,14,10,-11,30:34
1994,FC Schalke 04,14  ,34,10,9,15,-12,29:39
1994,SC Freiburg,15  ,34,10,8,16,-3,28:40
1994,1.FC Nuremberg,16  ,34,10,8,16,-14,28:40
1994,Wattenscheid 09,17  ,34,6,11,17,-22,23:45
1994,VfB Leipzig,18  ,34,3,11,20,-37,17:51
1995,Bor. Dortmund,1  ,34,20,9,5,34,49:19
