Season_End_Year,Team,Rank,MP,W,D,L,GD,Pts
1993,Man Utd,1  ,42,24,12,6,36,84
1993,Aston Villa,2  ,42,21,11,10,17,74
1993,Norwich,3  ,42,21,9,12,-4,72
1993,Blackburn,4  ,42,20,11,11,22,71
1993,QPR,5  ,42,17,12,13,8,63
1993,Liverpool,6  ,42,16,11,15,7,59
1993,Sheff Wed,7  ,42,15,14,13,4,59
1993,Tottenham,8  ,42,16,11,15,-6,59
1993,Man City,9  ,42,15,12,15,5,57
1993,Arsenal,10  ,42,15,11,16,2,56
1993,Chelsea,11  ,42,14,14,14,-3,56
1993,Wimbledon FC,12  ,42,14,12,16,1,54
1993,Everton,13  ,42,15,8,19,-2,53
1993,Sheff Utd,14  ,42,14,10,18,1,52
1993,Coventry,15  ,42,13,13,16,-5,52
1993,Ipswich,16  ,42,12,16,14,-5,52
1993,Leeds,17  ,42,12,15,15,-5,51
1993,Southampton,18  ,42,13,11,18,-7,50
1993,Oldham Athletic,19  ,42,13,10,19,-11,49
1993,Crystal Palace,20  ,42,11,16,15,-13,49
1993,Middlesbrough,21  ,42,11,11,20,-21,44
1993,Nottm Forest,22  ,42,10,10,22,-21,40
1994,Man Utd,1  ,42,27,11,4,42,92
1994,Blackburn,2  ,42,25,9,8,27,84
1994,Newcastle,3  ,42,23,8,11,41,77
1994,Arsenal,4  ,42,18,17,7,25,71
1994,Leeds,5  ,42,18,16,8,26,70
1994,Wimbledon FC,6  ,42,18,11,13,3,65
1994,Sheff Wed,7  ,42,16,16,10,22,64
1994,Liverpool,8  ,42,17,9,16,4,60
1994,QPR,9  ,42,16,12,14,1,60
1994,Aston Villa,10  ,42,15,12,15,-4,57
1994,Coventry,11  ,42,14,14,14,-2,56
1994,Norwich,12  ,42,12,17,13,4,53
1994,West Ham,13  ,42,13,13,16,-11,52
1994,Chelsea,14  ,42,13,12,17,-4,51
1994,Tottenham,15  ,42,11,12,19,-5,45
1994,Man City,16  ,42,9,18,15,-11,45
1994,Everton,17  ,42,12,8,22,-21,44
1994,Southampton,18  ,42,12,7,23,-17,43
1994,Ipswich,19  ,42,9,16,17,-23,43
1994,Sheff Utd,20  ,42,8,18,16,-18,42
1994,Oldham Athletic,21  ,42,9,13,20,-26,40
1994,Swindon Town,22  ,42,5,15,22,-53,30
1995,Blackburn,1  ,42,27,8,7,41,89
1995,Man Utd,2  ,42,26,10,6,49,88
1995,Nottm Forest,3  ,42,22,11,9,29,77
1995,Liverpool,4  ,42,21,11,10,28,74
1995,Leeds,5  ,42,20,13,9,21,73
1995,Newcastle,6  ,42,20,12,10,20,72
1995,Tottenham,7  ,42,16,14,12,8,62
1995,QPR,8  ,42,17,9,16,2,60
1995,Wimbledon FC,9  ,42,15,11,16,-17,56
1995,Southampton,10  ,42,12,18,12,-2,54
1995,Chelsea,11  ,42,13,15,14,-5,54
1995,Arsenal,12  ,42,13,12,17,3,51
1995,Sheff Wed,13  ,42,13,12,17,-8,51
1995,West Ham,14  ,42,13,11,18,-4,50
1995,Everton,15  ,42,11,17,14,-7,50
1995,Coventry,16  ,42,12,14,16,-18,50
1995,Man City,17  ,42,12,13,17,-11,49
1995,Aston Villa,18  ,42,11,15,16,-5,48
1995,Crystal Palace,19  ,42,11,12,19,-15,45
1995,Norwich,20  ,42,10,13,19,-17,43
1995,Leicester,21  ,42,6,11,25,-35,29
1995,Ipswich,22  ,42,7,6,29,-57,27
1996,Man Utd,1  ,38,25,7,6,38,82
1996,Newcastle,2  ,38,24,6,8,29,78
1996,Liverpool,3  ,38,20,11,7,36,71
1996,Aston Villa,4  ,38,18,9,11,17,63
1996,Arsenal,5  ,38,17,12,9,17,63
1996,Everton,6  ,38,17,10,11,20,61
1996,Blackburn,7  ,38,18,7,13,14,61
1996,Tottenham,8  ,38,16,13,9,12,61
1996,Nottm Forest,9  ,38,15,13,10,-4,58
1996,West Ham,10  ,38,14,9,15,-9,51
1996,Chelsea,11  ,38,12,14,12,2,50
1996,Middlesbrough,12  ,38,11,10,17,-15,43
1996,Leeds,13  ,38,12,7,19,-17,43
1996,Wimbledon FC,14  ,38,10,11,17,-15,41
1996,Sheff Wed,15  ,38,10,10,18,-13,40
1996,Coventry,16  ,38,8,14,16,-18,38
1996,Southampton,17  ,38,9,11,18,-18,38
1996,Man City,18  ,38,9,11,18,-25,38
1996,QPR,19  ,38,9,6,23,-19,33
1996,Bolton,20  ,38,8,5,25,-32,29
1997,Man Utd,1  ,38,21,12,5,32,75
1997,Newcastle,2  ,38,19,11,8,33,68
