Rank,Name,Age,Club,Matches,Goals
1,Harry Kane,30,Bayern Munich,32,36
2,Kylian Mbappé,25,Paris SG,29,27
3,Erling Haaland,23,Man City,30,27
4,Serhou Guirassy,28,VfB Stuttgart,27,26
5,Lautaro Martínez,26,Inter,32,24
6,Loïs Openda,24,RB Leipzig,33,24
7,Cole Palmer,22,22,33,22
8,Alexander Isak,24,Newcastle,29,20
9,Artem Dovbyk,26,Girona,34,20
10,Jude Bellingham,20,Real Madrid,27,19
11,Ollie Watkins,28,Aston Villa,36,19
12,Jonathan David,24,LOSC Lille,33,19
13,Dominic Solanke,26,Bournemouth,37,19
14,Alexander Sørloth,28,Villarreal,32,19
15,Mohamed Salah,31,Liverpool,31,18
16,Deniz Undav,27,VfB Stuttgart,29,18
17,Phil Foden,23,Man City,34,17
18,Heung-min Son,31,Tottenham,34,17
19,Robert Lewandowski,35,Barcelona,33,17
20,Alexandre Lacazette,32,Olympique Lyon,28,17
21,Bukayo Saka,22,Arsenal,35,16
22,Dušan Vlahović,24,Juventus,31,16
23,Jarrod Bowen,27,West Ham,34,16
24,Antoine Griezmann,33,Atlético Madrid,31,16
25,Ante Budimir,32,CA Osasuna,31,16
26,Pierre-Emerick Aubameyang,34,Marseille,33,16
27,Vinicius Junior,23,Real Madrid,25,15
28,Victor Osimhen,25,SSC Napoli,24,15
29,Ermedin Demirovic,26,FC Augsburg,32,15
30,Maximilian Beier,21,TSG Hoffenheim,32,15
31,Youssef En-Nesyri,26,Sevilla FC,31,15
32,Borja Mayoral,27,Getafe,27,15
33,Wissam Ben Yedder,33,Monaco,31,15
34,Nicolas Jackson,22,Chelsea,34,14
35,Albert Gudmundsson,26,Genoa,33,14
36,Álvaro Morata,31,Atlético Madrid,30,14
37,Thijs Dallinga,23,Toulouse,32,14
38,Gorka Guruzeta,27,Athletic,32,14
39,Olivier Giroud,37,AC Milan,33,14
40,Marcus Thuram,26,Inter,33,13
41,Hakan Çalhanoğlu,30,Inter,30,13
42,Benjamin Sesko,20,RB Leipzig,30,13
43,Victor Boniface,23,B. Leverkusen,22,13
