Season_End_Year,Team,Rank,MP,W,D,L,GD,Pts
1993,Barcelona,1  ,38,25,8,5,53,58:18
1993,Real Madrid,2  ,38,24,9,5,47,57:19
1993,Dep. La Coruña,3  ,38,22,10,6,34,54:22
1993,Valencia,4  ,38,19,10,9,27,48:28
1993,CD Tenerife,5  ,38,15,14,9,12,44:32
1993,Atlético Madrid,6  ,38,16,11,11,10,43:33
1993,Sevilla FC,7  ,38,17,9,12,2,43:33
1993,Athletic,8  ,38,17,6,15,4,40:36
1993,Real Zaragoza,9  ,38,11,13,14,-15,35:41
1993,CA Osasuna,10  ,38,12,10,16,1,34:42
1993,Celta de Vigo,11  ,38,9,16,13,-7,34:42
1993,Sporting Gijón,12  ,38,11,12,15,-19,34:42
1993,Real Sociedad,13  ,38,13,8,17,-13,34:42
1993,Rayo Vallecano,14  ,38,8,17,13,-9,33:43
1993,CD Logroñés,15  ,38,11,11,16,-16,33:43
1993,Real Oviedo,16  ,38,11,10,17,-10,32:44
1993,Albacete,17  ,38,11,9,18,-5,31:45
1993,Español,18  ,38,9,11,18,-16,29:47
1993,Cádiz CF,19  ,38,5,12,21,-40,22:54
1993,Real Burgos,20  ,38,4,14,20,-40,22:54
1994,Barcelona,1  ,38,25,6,7,49,56:20
1994,Dep. La Coruña,2  ,38,22,12,4,36,56:20
1994,Real Zaragoza,3  ,38,19,8,11,24,46:30
1994,Real Madrid,4  ,38,19,7,12,11,45:31
1994,Athletic,5  ,38,16,11,11,14,43:33
1994,Sevilla FC,6  ,38,15,12,11,14,42:34
1994,Valencia,7  ,38,14,12,12,5,40:36
1994,Racing,8  ,38,15,8,15,2,38:38
1994,Real Oviedo,9  ,38,12,13,13,-6,37:39
1994,CD Tenerife,10  ,38,15,7,16,-5,37:39
1994,Real Sociedad,11  ,38,12,12,14,-8,36:40
1994,Atlético Madrid,12  ,38,13,9,16,0,35:41
1994,Albacete,13  ,38,10,15,13,-9,35:41
1994,Sporting Gijón,14  ,38,15,5,18,-15,35:41
1994,Celta de Vigo,15  ,38,11,11,16,-10,33:43
1994,CD Logroñés,16  ,38,9,15,14,-11,33:43
1994,Rayo Vallecano,17  ,38,9,13,16,-18,31:45
1994,Valladolid,18  ,38,7,15,16,-25,29:47
1994,UE Lleida,19  ,38,7,13,18,-19,27:49
1994,CA Osasuna,20  ,38,8,10,20,-29,26:50
1995,Real Madrid,1  ,38,23,9,6,47,55:21
1995,Dep. La Coruña,2  ,38,20,11,7,36,51:25
1995,Real Betis,3  ,38,15,16,7,21,46:30
1995,Barcelona,4  ,38,18,10,10,15,46:30
1995,Sevilla FC,5  ,38,16,11,11,14,43:33
1995,Español,6  ,38,14,15,9,16,43:33
1995,Real Zaragoza,7  ,38,18,7,13,5,43:33
1995,Athletic,8  ,38,16,10,12,-3,42:34
1995,Real Oviedo,9  ,38,13,13,12,3,39:37
1995,Valencia,10  ,38,13,12,13,5,38:38
1995,Real Sociedad,11  ,38,12,14,12,12,38:38
1995,Racing,12  ,38,13,10,15,-5,36:40
1995,Celta de Vigo,13  ,38,11,14,13,-12,36:40
1995,Atlético Madrid,14  ,38,13,9,16,2,35:41
1995,CD Tenerife,15  ,38,13,9,16,0,35:41
1995,SD Compostela,16  ,38,11,12,15,-12,34:42
1995,Albacete,17  ,38,10,14,14,-17,34:42
1995,Sporting Gijón,18  ,38,8,12,18,-25,28:48
