Season_End_Year,Team,Rank,MP,W,D,L,GD,Pts
1993,Marseille,1 ,38,22,10,6,35,54:22
1993,Paris SG,2 ,38,20,11,7,32,51:25
1993,Monaco,3 ,38,21,9,8,27,51:25
1993,G. Bordeaux,4 ,38,18,12,8,17,48:28
1993,FC Nantes,5 ,38,17,11,10,15,45:31
1993,AJ Auxerre,6 ,38,18,7,13,13,43:33
1993,Saint-Étienne,7 ,38,13,17,8,8,43:33
1993,R. Strasbourg,8 ,38,12,16,10,1,40:36
1993,Lens,9 ,38,12,16,10,-5,40:36
1993,Montpellier,10 ,38,12,12,14,-5,36:40
1993,SM Caen,11 ,38,13,9,16,1,35:41
1993,FC Metz,12 ,38,11,13,14,-1,35:41
1993,Toulouse,13 ,38,9,16,13,-9,34:42
1993,Olympique Lyon,14 ,38,9,15,14,-5,33:43
1993,Le Havre AC,15 ,38,11,11,16,-11,33:43
1993,FC Sochaux,16 ,38,11,10,17,-17,32:44
1993,US Valenciennes,17 ,38,9,12,17,-14,30:46
1993,LOSC Lille,18 ,38,7,16,15,-22,30:46
1993,SC Toulon Var,19 ,38,6,13,19,-26,25:51
1993,Nîmes Olympique,20 ,38,3,16,19,-34,22:54
1994,Paris SG,1 ,38,24,11,3,32,59:17
1994,Marseille,2 ,38,19,13,6,23,51:25
1994,AJ Auxerre,3 ,38,18,10,10,25,46:30
1994,G. Bordeaux,4 ,38,19,8,11,17,46:30
1994,FC Nantes,5 ,38,17,11,10,15,45:31
1994,Cannes,6 ,38,16,12,10,7,44:32
1994,Montpellier,7 ,38,15,13,10,4,43:33
1994,Olympique Lyon,8 ,38,17,8,13,-2,42:34
1994,Monaco,9 ,38,14,13,11,16,41:35
1994,Lens,10 ,38,13,13,12,9,39:37
1994,Saint-Étienne,11 ,38,12,13,13,2,37:39
1994,FC Metz,12 ,38,12,13,13,1,37:39
1994,R. Strasbourg,13 ,38,10,14,14,-4,34:42
1994,FC Sochaux,14 ,38,10,13,15,-9,33:43
1994,LOSC Lille,15 ,38,8,16,14,-11,32:44
1994,SM Caen,16 ,38,12,7,19,-25,31:45
1994,Le Havre AC,17 ,38,7,15,16,-19,29:47
1994,FC Martigues,18 ,38,5,17,16,-21,27:49
1994,Toulouse,19 ,38,4,15,19,-34,23:53
1994,Angers SCO,20 ,38,4,13,21,-26,21:55
1995,FC Nantes,1  ,38,21,16,1,37,79
1995,Olympique Lyon,2  ,38,19,12,7,18,69
1995,Paris SG,3  ,38,20,7,11,17,67
1995,AJ Auxerre,4  ,38,15,17,6,25,62
1995,Lens,5  ,38,15,14,9,4,59
1995,Monaco,6  ,38,15,12,11,21,57
1995,G. Bordeaux,7  ,38,16,9,13,5,57
1995,FC Metz,8  ,38,16,8,14,6,56
1995,Cannes,9  ,38,15,8,15,8,53
1995,R. Strasbourg,10  ,38,13,12,13,0,51
1995,FC Martigues,11  ,38,13,12,13,-12,51
1995,Le Havre AC,12  ,38,12,13,13,-3,49
1995,Stade Rennais,13  ,38,12,12,14,-2,48
1995,LOSC Lille,14  ,38,13,9,16,-15,48
1995,SC Bastia,15  ,38,11,11,16,-12,44
1995,OGC Nice,16  ,38,11,10,17,-13,43
1995,Montpellier,17  ,38,9,14,15,-15,41
1995,Saint-Étienne,18  ,38,9,11,18,-10,38
1995,SM Caen,19  ,38,10,6,22,-20,36
1995,FC Sochaux,20  ,38,6,5,27,-39,23
1996,AJ Auxerre,1  ,38,22,6,10,36,72
