Season_End_Year,Team,Rank,MP,W,D,L,GD,Pts
1993,Milan,1  ,34,18,14,2,33,50:18
1993,Inter,2  ,34,17,12,5,23,46:22
1993,AC Parma,3  ,34,16,9,9,13,41:27
1993,Juventus,4  ,34,15,9,10,12,39:29
1993,Lazio,5  ,34,13,12,9,14,38:30
1993,Cagliari Calcio,6  ,34,14,9,11,12,37:31
1993,Sampdoria,7  ,34,12,12,10,2,36:32
1993,Atalanta,8  ,34,14,8,12,-2,36:32
1993,Torino,9  ,34,9,17,8,0,35:33
1993,AS Roma,10  ,34,8,17,9,3,33:35
1993,Napoli,11  ,34,10,12,12,-1,32:36
1993,Foggia,12  ,34,10,12,12,-16,32:36
1993,Genoa,13  ,34,7,17,10,-14,31:37
1993,Brescia,14  ,34,9,12,13,-8,30:38
1993,Udinese Calcio,15  ,34,10,10,14,-6,30:38
1993,Fiorentina,16  ,34,8,14,12,-3,30:38
1993,Ancona,17  ,34,6,7,21,-34,19:49
1993,Pescara,18  ,34,6,5,23,-28,17:51
1994,Milan,1  ,34,19,12,3,21,50:18
1994,Juventus,2  ,34,17,13,4,33,47:21
1994,Lazio,3  ,34,17,10,7,15,44:24
1994,Sampdoria,4  ,34,18,8,8,25,44:24
1994,AC Parma,5  ,34,17,7,10,15,41:27
1994,Napoli,6  ,34,12,12,10,6,36:32
1994,AS Roma,7  ,34,10,15,9,5,35:33
1994,Torino,8  ,34,11,12,11,2,34:34
1994,Foggia,9  ,34,10,13,11,0,33:35
1994,Genoa,10  ,34,8,16,10,-8,32:36
1994,Cremonese,11  ,34,9,14,11,0,32:36
1994,Cagliari Calcio,12  ,34,10,12,12,-9,32:36
1994,Inter,13  ,34,11,9,14,1,31:37
1994,Reggiana,14  ,34,10,11,13,-8,31:37
1994,Piacenza,15  ,34,8,14,12,-11,30:38
1994,Udinese,16  ,34,7,14,13,-13,28:40
1994,Atalanta,17  ,34,5,11,18,-30,21:47
1994,Lecce,18  ,34,3,5,26,-44,11:57
1995,Juventus,1  ,34,23,4,7,27,73
1995,AC Parma,2  ,34,18,9,7,20,63
1995,Lazio,3  ,34,19,6,9,35,63
1995,Milan,4  ,34,17,9,8,21,60
1995,AS Roma,5  ,34,16,11,7,21,59
1995,Inter,6  ,34,14,10,10,5,52
1995,Napoli,7  ,34,13,12,9,-5,51
1995,Sampdoria,8  ,34,13,11,10,14,50
1995,Cagliari Calcio,9  ,34,13,10,11,1,49
1995,Fiorentina,10  ,34,12,11,11,4,47
1995,Torino,11  ,34,12,9,13,-4,45
1995,Bari,12  ,34,12,8,14,-3,44
1995,Cremonese,13  ,34,11,8,15,-3,41
1995,Genoa,14  ,34,10,10,14,-15,40
1995,Padova,15  ,34,12,4,18,-21,40
1995,Foggia,16  ,34,8,10,16,-18,34
1995,Reggiana,17  ,34,4,6,24,-32,18
1995,Brescia,18  ,34,2,6,26,-47,12
1996,Milan,1  ,34,21,10,3,36,73
1996,Juventus,2  ,34,19,8,7,23,65
1996,Lazio,3  ,34,17,8,9,28,59
1996,Fiorentina,4  ,34,17,8,9,12,59
1996,AS Roma,5  ,34,16,10,8,17,58
1996,AC Parma,6  ,34,16,10,8,13,58
1996,Inter,7  ,34,15,9,10,21,54
1996,Sampdoria,8  ,34,14,10,10,12,52
1996,Vicenza,9  ,34,13,10,11,-1,49
1996,Cagliari Calcio,10  ,34,11,8,15,-13,41
1996,Udinese,11  ,34,11,8,15,-8,41
1996,Napoli,12  ,34,10,11,13,-13,41
1996,Atalanta BC,13  ,34,11,6,17,-12,39
1996,Piacenza,14  ,34,9,10,15,-17,37
1996,Bari,15  ,34,8,8,18,-22,32
1996,Torino,16  ,34,6,11,17,-18,29
1996,Cremonese,17  ,34,5,12,17,-20,27
1996,Padova,18  ,34,7,3,24,-38,24
1997,Juventus,1  ,34,17,14,3,27,65
1997,AC Parma,2  ,34,18,9,7,15,63
1997,Inter,3  ,34,15,14,5,16,59
1997,Lazio,4  ,34,15,10,9,17,55
1997,Udinese,5  ,34,15,9,10,12,54
1997,Sampdoria,6  ,34,14,11,9,14,53
1997,Bologna,7  ,34,13,10,11,6,49
1997,Vicenza,8  ,34,12,11,11,5,47
1997,Fiorentina,9  ,34,10,15,9,5,45
1997,Atalanta BC,10  ,34,11,11,12,-2,44
1997,Milan,11  ,34,11,10,13,-2,43
1997,AS Roma,12  ,34,10,11,13,-1,41
1997,Napoli,13  ,34,9,14,11,-7,41
1997,Cagliari Calcio,14  ,34,9,10,15,-10,37
1997,Piacenza,15  ,34,7,16,11,-16,37
